_step,_timestamp,train/router/bias_max,train/router/bias_min,train/router/capacity_overflow_rate_mean,train/router/layer_0/capacity_overflow_rate,train/router/layer_0/load_balancing_loss,train/router/layer_0/margin_max,train/router/layer_0/margin_min,train/router/layer_0/router_z_loss,train/router/layer_0/routing_entropy,train/router/layer_1/capacity_overflow_rate,train/router/layer_1/load_balancing_loss,train/router/layer_1/margin_max,train/router/layer_1/margin_min,train/router/layer_1/router_z_loss,train/router/layer_1/routing_entropy,train/router/layer_2/capacity_overflow_rate,train/router/layer_2/load_balancing_loss,train/router/layer_2/margin_max,train/router/layer_2/margin_min,train/router/layer_2/router_z_loss,train/router/layer_2/routing_entropy,train/router/layer_46/capacity_overflow_rate,train/router/layer_46/load_balancing_loss,train/router/layer_46/margin_max,train/router/layer_46/margin_min,train/router/layer_46/router_z_loss,train/router/layer_46/routing_entropy,train/router/layer_47/capacity_overflow_rate,train/router/layer_47/load_balancing_loss,train/router/layer_47/margin_max,train/router/layer_47/margin_min,train/router/layer_47/router_z_loss,train/router/layer_47/routing_entropy,train/router/margin_max,train/router/margin_min,train/router/receiver_overflow_rate_mean,train/router/router_z_loss,train/router/routing_entropy_mean,train/router/sender_overflow_rate_mean,train/router/z_loss_logging_only
14,1787192324.3751707,0.14350135624408722,-0.4456876814365387,0.0021063690073788166,0.007250254973769188,8.000640869140625,0.810546875,-1.932373046875,35.760223388671875,5.946432113647461,0.004197537899017334,8.000207901000977,0.921142578125,-2.00634765625,35.775047302246094,5.947267532348633,0.002119381446391344,8.000326156616211,0.9581298828125,-1.9058361053466797,35.76264190673828,5.94843053817749,0.0035711501259356737,8.001437187194824,1.00927734375,-2.17333984375,35.76367950439453,5.949865818023682,0.003586967010051012,8.001626014709473,1.0869827270507812,-2.01416015625,35.77408218383789,5.949855327606201,1.2218017578125,-2.17333984375,0.0002720386837609112,35.77608108520508,5.949437618255615,0.0018343301489949226,35.77608108520508
33,1787192681.5247247,0.147268608212471,-0.6240506172180176,0.0024935798719525337,0.008115308359265327,8.00114631652832,0.8277130126953125,-1.94677734375,35.7568359375,5.944548606872559,0.005308584775775671,7.999660491943359,0.913818359375,-1.960784912109375,35.77262878417969,5.946660995483398,0.004764207638800144,7.999965190887451,0.9658203125,-1.9169921875,35.758426666259766,5.947109699249268,0.003432607278227806,8.006691932678223,1.088134765625,-2.03369140625,35.759185791015625,5.948796272277832,0.0032471066806465387,8.006429672241211,1.0244140625,-2.130859375,35.76399612426758,5.948906898498535,1.16656494140625,-2.1630859375,0.0006922266911715269,35.770835876464844,5.948441982269287,0.0018013529479503632,35.770835876464844
93,1787193824.521854,0.5248588919639587,-2.228884696960449,0.004057641141116619,0.00497907679527998,8.004578590393066,2.2412109375,-1.921875,35.68838882446289,5.945672035217285,0.0043558478355407715,8.009328842163086,2.48345947265625,-2.01123046875,35.69303894042969,5.947848320007324,0.0038436842150986195,8.005139350891113,2.2103271484375,-1.94091796875,35.6759033203125,5.94705867767334,0.010088988579809666,8.148054122924805,2.3040771484375,-2.13134765625,34.679954528808594,5.942730903625488,0.009876581840217113,8.160310745239258,2.4765625,-2.1396484375,34.523597717285156,5.942584037780762,2.603515625,-2.259765625,0.0013920268975198269,35.19337463378906,5.946171760559082,0.0026656142435967922,35.19337463378906
96,1787193881.3418047,0.557301938533783,-2.3418591022491455,0.004021446220576763,0.005227958783507347,8.002256393432617,2.30126953125,-1.92138671875,35.68317794799805,5.945664405822754,0.004076556768268347,8.007758140563965,2.59619140625,-2.04345703125,35.68535614013672,5.947849273681641,0.003041852731257677,8.003915786743164,2.294921875,-1.96337890625,35.668556213378906,5.947745323181152,0.01045249868184328,8.15199089050293,2.3974609375,-2.107421875,34.520896911621094,5.942761421203613,0.009986056946218014,8.16275405883789,2.60302734375,-2.199951171875,34.33006286621094,5.942774295806885,2.7392578125,-2.2457275390625,0.0011988149490207434,35.09999465942383,5.946275234222412,0.0028226308058947325,35.09999465942383
143,1787194792.293167,1.123510718345642,-4.390779495239258,0.006789795123040676,0.004237803630530834,8.017515182495117,4.2757568359375,-1.93212890625,35.57839584350586,5.9437103271484375,0.0030597124714404345,8.020425796508789,4.19580078125,-2.0361328125,35.48942947387695,5.945944786071777,0.0032768738456070423,8.014518737792969,3.845703125,-1.98297119140625,35.430747985839844,5.9451117515563965,0.020658014342188835,8.489377975463867,4.462890625,-2.7138671875,30.7733154296875,5.93792724609375,0.01942151039838791,8.41486644744873,5.25390625,-2.59765625,29.061033248901367,5.939242839813232,5.25390625,-2.848876953125,0.003192437347024679,32.38533020019531,5.943842887878418,0.0035973580088466406,32.38533020019531
150,1787194928.4886036,1.2246397733688354,-4.635132789611816,0.0067638675682246685,0.005339506082236767,8.020731925964355,4.494140625,-1.9658203125,35.55930709838867,5.943624496459961,0.0024385941214859486,8.023174285888672,4.34521484375,-2.0810546875,35.45351791381836,5.945931911468506,0.0034035365097224712,8.018373489379883,4.07568359375,-2.0224609375,35.36553955078125,5.943291187286377,0.01957889273762703,8.495460510253906,4.805419921875,-2.8193359375,30.095001220703125,5.938404083251953,0.019006986171007156,8.4284086227417,5.580078125,-2.609375,28.04836654663086,5.939367294311523,5.580078125,-2.904296875,0.0030807422008365393,31.81978988647461,5.943770408630371,0.0036831253673881292,31.81978988647461
152,1787194968.4405067,1.24609375,-4.687829494476318,0.007143632974475622,0.0051778582856059074,8.018850326538086,4.55224609375,-1.9501953125,35.554969787597656,5.944424629211426,0.003414151491597295,8.02355670928955,4.378662109375,-2.0888671875,35.44428253173828,5.946081161499023,0.004352732095867395,8.020151138305664,4.14697265625,-1.9833984375,35.34686279296875,5.943439960479736,0.019419420510530472,8.491912841796875,4.9423828125,-2.857421875,29.91501235961914,5.938607215881348,0.019227659329771996,8.419588088989258,5.71875,-2.67578125,27.78671646118164,5.939174652099609,5.71875,-2.931640625,0.0032375683076679707,31.668655395507812,5.943719387054443,0.003906065132468939,31.668655395507812
197,1787211771.246719,1.867943525314331,-7.0450615882873535,0.013220800086855888,0.00735104363411665,8.056991577148438,5.2896728515625,-2.0224609375,35.313316345214844,5.940473556518555,0.006176000460982323,8.043270111083984,5.4609375,-2.1220703125,35.0871467590332,5.939369201660156,0.004812335595488548,8.051104545593262,4.8934326171875,-2.08984375,34.71953582763672,5.941692352294922,0.03178281709551811,8.777276992797852,7.4921875,-3.6884765625,26.23941993713379,5.930585861206055,0.03520519658923149,8.867548942565918,8.078125,-3.376953125,23.42152976989746,5.928929805755615,8.078125,-3.6884765625,0.008304079063236713,27.985382080078125,5.938808441162109,0.004916721023619175,27.985382080078125
238,1787212546.3127081,2.640714645385742,-8.953190803527832,0.0185445174574852,0.009449327364563942,7.992643356323242,5.45263671875,-2.0712890625,34.7698860168457,5.939970970153809,0.0053604599088430405,8.059418678283691,6.188568115234375,-2.31640625,34.32813262939453,5.93728494644165,0.0052732122130692005,8.08453369140625,5.78125,-2.35546875,33.9058723449707,5.94243049621582,0.03962847962975502,8.876155853271484,10.25,-5.265625,24.848392486572266,5.925405502319336,0.0427924245595932,8.933465957641602,10.7265625,-4.96875,22.70962142944336,5.924342632293701,10.7265625,-5.265625,0.011690571904182434,25.13063621520996,5.9355316162109375,0.006853943690657616,25.13063621520996
269,1787213131.0131855,3.4541256427764893,-10.581853866577148,0.022826775908470154,0.01347560528665781,8.028158187866211,5.619140625,-2.28369140625,34.120243072509766,5.9348649978637695,0.009866289794445038,8.08910083770752,6.326171875,-2.376953125,33.571861267089844,5.933549404144287,0.008829915896058083,8.138039588928223,5.75,-2.533935546875,33.022796630859375,5.938401222229004,0.04249041900038719,8.82448959350586,12.140625,-6.8828125,24.1722469329834,5.923489570617676,0.0448310412466526,8.86500358581543,12.734375,-6.8046875,21.801372528076172,5.921399116516113,12.734375,-6.8828125,0.014539606869220734,23.05950927734375,5.932796478271484,0.008287168107926846,23.05950927734375
276,1787213262.595457,3.65470290184021,-10.799975395202637,0.023517286404967308,0.010511555708944798,8.027019500732422,5.548828125,-2.283203125,33.9680061340332,5.935988903045654,0.007402642630040646,8.078516006469727,6.30712890625,-2.494140625,33.397640228271484,5.936286926269531,0.008284677751362324,8.13947582244873,5.708984375,-2.61376953125,32.832916259765625,5.938966274261475,0.04199869930744171,8.811884880065918,12.578125,-7.3125,23.92979621887207,5.924431800842285,0.043482694774866104,8.680571556091309,13.13671875,-7.25,21.755401611328125,5.921808242797852,13.13671875,-7.3125,0.014965127222239971,22.57838249206543,5.932623863220215,0.008552158251404762,22.57838249206543
318,1787214498.1043878,4.935761451721191,-12.350089073181152,0.025490056723356247,0.009163734503090382,8.107460021972656,7.611328125,-2.62109375,33.21285629272461,5.937161445617676,0.00761258602142334,8.10600471496582,6.1898193359375,-2.95703125,32.32758712768555,5.940023422241211,0.005559802055358887,8.19024658203125,6.103515625,-3.396484375,31.750303268432617,5.940733909606934,0.036232735961675644,8.490875244140625,14.671875,-10.0625,19.250751495361328,5.92842435836792,0.03992701321840286,8.605731964111328,14.3828125,-10.734375,17.958480834960938,5.925264358520508,14.8203125,-10.734375,0.014946329407393932,19.042755126953125,5.9334845542907715,0.010543729178607464,19.042755126953125
